simulation_id,max_drawdown_pct,max_drawdown_usdt,max_losing_streak,final_equity_usdt,final_net_pnl_usdt
447,17.37490148,714.8,14,7239.12,6239.12
448,18.09027982,420.3,8,7239.12,6239.12
449,11.173,351.78,11,7239.12,6239.12
450,11.68153959,413.56,7,7239.12,6239.12
451,18.3429988,291.22,11,7239.12,6239.12
452,13.26266313,397.86,10,7239.12,6239.12
453,27.23124021,382.49,11,7239.12,6239.12
454,10.62507132,515.85,12,7239.12,6239.12
455,16.05362303,332.79,9,7239.12,6239.12
456,36.51471482,654.99,13,7239.12,6239.12
457,20.25010765,456.16,8,7239.12,6239.12
458,31.66103457,475.02,9,7239.12,6239.12
459,24.69714915,475.43,7,7239.12,6239.12
460,19.36345857,439.49,10,7239.12,6239.12
461,16.22447173,451.47,14,7239.12,6239.12
462,27.7890002,518.89,11,7239.12,6239.12
463,21.40039245,406.74,10,7239.12,6239.12
464,31.61796054,377.86,10,7239.12,6239.12
465,16.5050039,514.39,8,7239.12,6239.12
466,13.17644454,535.55,12,7239.12,6239.12
467,13.11712922,499.76,10,7239.12,6239.12
468,12.51432974,489.24,7,7239.12,6239.12
469,12.49532309,440.94,9,7239.12,6239.12
470,14.40546344,446.13,7,7239.12,6239.12
471,21.50241343,568.87,7,7239.12,6239.12
472,11.50252256,458.98,12,7239.12,6239.12
473,15.62806916,474.19,10,7239.12,6239.12
474,8.898538937,612.7,10,7239.12,6239.12
475,30.82881785,561.55,11,7239.12,6239.12
476,10.29405917,403.84,12,7239.12,6239.12
477,18.10812474,385.8,7,7239.12,6239.12
478,10.18168815,285.71,9,7239.12,6239.12
479,13.08121799,453.78,8,7239.12,6239.12
480,10.66496,466.76,8,7239.12,6239.12
481,23.78713479,387.54,9,7239.12,6239.12
482,28.55775889,453.64,12,7239.12,6239.12
483,15.72776443,705.45,8,7239.12,6239.12
484,13.77657209,368.69,10,7239.12,6239.12
485,14.99704646,311.06,12,7239.12,6239.12
486,19.638,402.61,9,7239.12,6239.12
487,10.74129457,451.1,14,7239.12,6239.12
488,35.05268161,442.47,9,7239.12,6239.12
489,16.208,330.47,9,7239.12,6239.12
490,20.99114,425.6,11,7239.12,6239.12
491,36.51257544,394.89,10,7239.12,6239.12
492,16.19111835,398.01,8,7239.12,6239.12
493,12.86533551,388.27,9,7239.12,6239.12
494,15.10501545,545.93,11,7239.12,6239.12
495,11.0138906,309.61,12,7239.12,6239.12
496,20.33617493,463.92,8,7239.12,6239.12
497,23.04609896,364.5,13,7239.12,6239.12
498,19.54644606,626.36,10,7239.12,6239.12
499,22.25631979,605.49,14,7239.12,6239.12
500,62.36416779,862.01,12,7239.12,6239.12
501,11.72031418,546.07,11,7239.12,6239.12
502,17.89007031,415.25,9,7239.12,6239.12
503,25.39644111,356.66,10,7239.12,6239.12
504,17.65253111,461.1,8,7239.12,6239.12
505,16.27266697,684.43,9,7239.12,6239.12
506,14.369,345.19,9,7239.12,6239.12
507,20.34804709,279.73,11,7239.12,6239.12
508,39.74008869,452.58,11,7239.12,6239.12
509,14.66240774,369.18,11,7239.12,6239.12
510,16.28373085,344.48,13,7239.12,6239.12
511,44.15086299,600.88,10,7239.12,6239.12
512,37.3486914,420.55,10,7239.12,6239.12
513,16.76939745,458.15,8,7239.12,6239.12
514,13.87402001,389.14,10,7239.12,6239.12
515,10.34776881,211.88,8,7239.12,6239.12
516,13.06409331,468.95,14,7239.12,6239.12
517,29.88385311,311.29,18,7239.12,6239.12
518,32.368,343.7,12,7239.12,6239.12
519,14.68852399,452.29,7,7239.12,6239.12
520,30.245,373.6,7,7239.12,6239.12
521,14.54171653,473.9,8,7239.12,6239.12
522,18.36211805,449.62,9,7239.12,6239.12
523,15.53644438,478.29,9,7239.12,6239.12
524,13.21368727,337.84,11,7239.12,6239.12
525,30.53722461,391.02,12,7239.12,6239.12
526,16.22313111,423.96,15,7239.12,6239.12
527,16.718,268.28,8,7239.12,6239.12
528,27.04131722,421.42,9,7239.12,6239.12
529,10.432,343.43,9,7239.12,6239.12
530,27.69542951,513.31,13,7239.12,6239.12
531,14.10786869,671.33,9,7239.12,6239.12
532,24.89889738,371.11,12,7239.12,6239.12
533,24.40529829,425.92,7,7239.12,6239.12
534,21.18345952,818.37,14,7239.12,6239.12
535,14.32398821,343.24,8,7239.12,6239.12
536,10.4348886,507,9,7239.12,6239.12
537,9.472701424,470.19,7,7239.12,6239.12
538,33.62724401,423.71,10,7239.12,6239.12
539,25.38942488,589.22,10,7239.12,6239.12
540,12.914,431.37,12,7239.12,6239.12
541,18.16622214,520.27,12,7239.12,6239.12
542,22.7699026,677.43,11,7239.12,6239.12
543,28.97563868,586.38,8,7239.12,6239.12
544,13.65599387,578.98,12,7239.12,6239.12
545,25.15979967,396.37,9,7239.12,6239.12
546,20.65838932,403.47,9,7239.12,6239.12
547,17.87371554,348.98,10,7239.12,6239.12
548,25.9887837,547.75,11,7239.12,6239.12
549,10.14402162,328.64,10,7239.12,6239.12
550,15.66247344,574.84,8,7239.12,6239.12
551,14.36244767,320.69,7,7239.12,6239.12
552,11.69581093,701.82,12,7239.12,6239.12
